Cohort group type,Cohort group value,Cohort day,Month 9,Month 8,Month 7,Month 6,Month 5,Month 4,Month 3,Month 2,Month 1,Month 0
Last active day,Born,10/05/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/06/12,1,0,0,0,0,0,0,0,0,0
Last active day,Born,10/07/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/08/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/09/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/10/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/11/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/12/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/13/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/14/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/15/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/16/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/17/12,6,0,0,0,0,0,0,0,0,0
Last active day,Born,10/18/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/19/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/20/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/21/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/22/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/23/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/24/12,10,0,0,0,0,0,0,0,0,0
Last active day,Born,10/25/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/26/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/27/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/28/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/29/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/30/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,10/31/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/01/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/02/12,2,0,0,0,0,0,0,0,0,0
Last active day,Born,11/03/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/04/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/05/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/06/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/07/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/08/12,0,7,0,0,0,0,0,0,0,0
Last active day,Born,11/09/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/10/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/11/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/12/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/13/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/14/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/15/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/16/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/17/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/18/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/19/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/20/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/21/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/22/12,0,20,0,0,0,0,0,0,0,0
Last active day,Born,11/23/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/24/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/25/12,0,0,0,0,0,0,0,0,0,0
